# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jun 24 07:18:55 2026
#
# User preference: *
#
# CONSTRAINT:  where (tfopwg_disp like '%FP%')
#
# COLUMN toi:            TESS Object of Interest
# COLUMN tid:            TESS Input Catalog ID
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN st_pmra:        PMRA [mas/yr]
# COLUMN st_pmraerr1:    PMRA Upper Unc [mas/yr]
# COLUMN st_pmraerr2:    PMRA Lower Unc [mas/yr]
# COLUMN st_pmralim:     PMRA Limit Flag
# COLUMN st_pmdec:       PMDec [mas/yr]
# COLUMN st_pmdecerr1:   PMDec Upper Unc [mas/yr]
# COLUMN st_pmdecerr2:   PMDec Lower Unc [mas/yr]
# COLUMN st_pmdeclim:    PMDec Limit Flag
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD]
# COLUMN pl_tranmiderr1: Planet Transit Midpoint Upper Unc [BJD]
# COLUMN pl_tranmiderr2: Planit Transit Midpoint Lower Unc [BJD]
# COLUMN pl_tranmidlim:  Planet Transit Midpoint Limit Flag
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_orbpererr1:  Planet Orbital Period Upper Unc [days]
# COLUMN pl_orbpererr2:  Planet Orbital Period Lower Unc [days]
# COLUMN pl_orbperlim:   Planet Orbital Period Limit Flag
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandurherr1: Planet Transit Duration Upper Unc [hours]
# COLUMN pl_trandurherr2: Planet Transit Duration Lower Unc [hours]
# COLUMN pl_trandurhlim: Planet Transit Duration Limit Flag
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm]
# COLUMN pl_trandeperr1: Planet Transit Depth Upper Unc [ppm]
# COLUMN pl_trandeperr2: Planet Transit Depth Lower Unc [ppm]
# COLUMN pl_trandeplim:  Planet Transit Depth Limit Flag
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc [R_Earth]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc [R_Earth]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN pl_insolerr1:   Planet Insolation Upper Unc [Earth flux]
# COLUMN pl_insolerr2:   Planet Insolation Lower Unc [Earth flux]
# COLUMN pl_insollim:    Planet Insolation Limit Flag
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN pl_eqterr1:     Planet Equilibrium Temperature Upper Unc [K]
# COLUMN pl_eqterr2:     Planet Equilibrium Temperature Lower Unc [K]
# COLUMN pl_eqtlim:      Planet Equilibrium Temperature Limit Flag
# COLUMN st_tmag:        TESS Magnitude
# COLUMN st_tmagerr1:    TESS Magnitude Upper Unc
# COLUMN st_tmagerr2:    TESS Magnitude Lower Unc
# COLUMN st_tmaglim:     TESS Magnitude Limit Flag
# COLUMN st_dist:        Stellar Distance [pc]
# COLUMN st_disterr1:    Stellar Distance Upper Unc [pc]
# COLUMN st_disterr2:    Stellar Distance Lower Unc [pc]
# COLUMN st_distlim:     Stellar Distance Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_tefferr1:    Stellar Effective Termperature Upper Unc [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_logg:        Stellar log(g) Value [cm/s**2]
# COLUMN st_loggerr1:    Stellar log(g) Upper Unc [cm/s**]
# COLUMN st_loggerr2:    Stellar log(g) Lower Unc [cm/s**2]
# COLUMN st_logglim:     Stellar log(g) Limit Flag
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
# COLUMN st_raderr1:     Stellar Radius Upper Unc [R_Sun]
# COLUMN st_raderr2:     Stellar Radius Lower Unc [R_Sun]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN toi_created:    TOI Created Date
# COLUMN rowupdate:      Date Modified
#
toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate
1000.01,50365310,FP,07h29m25.85s,112.3577080,-12d41m45.46s,-12.6959600,-5.9640000,0.085,-0.085,0,-0.0760000,0.072,-0.072,0,2459229.6300460,0.001657,-0.001657,0,2.1713484,0.0002637,-0.0002637,0,2.0172196,0.3195879,-0.3195879,0,656.8860989,37.7782100,-37.7782100,0,5.8181633,1.9105465,-1.9105465,0,22601.9485814,,,,3127.2040524,,,,9.6040000,0.013,-0.013,0,485.7350000,11.9515000,-11.9515000,0,10249.0000000,264.7000000,-264.7000000,0,4.1900000,0.0700000,-0.0700000,0,2.1698600,0.0725729,-0.0725729,0,2019-07-24 15:58:33,2024-09-09 10:08:01
1002.01,124709665,FP,06h58m54.47s,104.7269660,-10d34m49.64s,-10.5804550,-1.4620000,0.206,-0.206,0,-2.2490000,0.206,-0.206,0,2459224.6878020,0.000625,-0.000625,0,1.8675574,0.0000030,-0.0000030,0,1.4080000,0.1840000,-0.1840000,0,1500.0000000,1.7584000,-1.7584000,0,23.7529000,,,0,2860.6100000,,,,2037.0000000,,,,9.2995010,0.058,-0.058,0,943.1090000,106.3330000,-106.3330000,0,8924.0000000,124.0000000,-124.0000000,0,,,,0,5.7300000,,,0,2019-07-24 15:58:33,2022-07-11 16:02:02
1003.01,106997505,FP,07h22m14.39s,110.5599450,-25d12m25.26s,-25.2070170,-0.9390000,0.041,-0.041,0,1.6400000,0.055,-0.055,0,2458493.3957000,0.005350,-0.005350,0,2.7432300,0.0010800,-0.0010800,0,3.1670000,0.6420000,-0.6420000,0,383.4100000,0.7819880,-0.7819880,0,,,,0,1177.3600000,,,,1631.0000000,,,,9.3003000,0.037,-0.037,0,7728.1700000,1899.5700000,-1899.5700000,0,5388.5000000,567.0000000,-567.0000000,0,4.1500000,1.6400000,-1.6400000,0,,,,0,2019-07-24 15:58:33,2022-02-23 10:10:02
1004.01,238597883,FP,08h08m42.77s,122.1781950,-48d48m10.12s,-48.8028110,-4.4960000,0.069,-0.069,0,9.3470000,0.062,-0.062,0,2459987.0472620,0.003748,-0.003748,0,3.5730141,0.0000128,-0.0000128,0,3.3700000,1.0290000,-1.0290000,0,755.0000000,1306.5500000,-1306.5500000,0,11.3113000,3.2471400,-3.2471400,0,54679.3000000,,,,4260.0000000,,,,9.1355000,0.006,-0.006,0,356.4370000,4.6175000,-4.6175000,0,9219.0000000,171.1000000,-171.1000000,0,4.1400000,0.0700000,-0.0700000,0,2.1500000,0.0600000,-0.0600000,0,2019-07-24 15:58:33,2024-09-09 10:08:01
1005.01,169904935,FP,08h02m49.15s,120.7048110,-11d06m05.48s,-11.1015210,-26.9320000,1.935,-1.935,0,-2.9010000,2.060,-2.060,0,2459985.1568550,0.000581,-0.000581,0,4.5505945,0.0000031,-0.0000031,0,2.6540000,0.3390000,-0.3390000,0,3731.0000000,123.7230000,-123.7230000,0,7.1084100,0.4746110,-0.4746110,0,414.7750000,,,,1257.0000000,,,,9.1309000,0.006,-0.006,0,100.7110000,14.1210000,-14.1210000,0,5613.0000000,179.9000000,-179.9000000,0,,,,0,1.0900000,0.0700000,-0.0700000,0,2019-07-24 15:58:33,2025-07-08 10:08:01
1006.01,156115721,FP,08h17m26.22s,124.3592390,-27d16m24.68s,-27.2735210,-29.1000000,2.600,-2.600,0,-6.8000000,2.200,-2.200,0,2459229.9845790,0.002159,-0.002159,0,2.5047918,0.0004076,-0.0004076,0,4.3797563,0.1036554,-0.1036554,0,2270.5402194,81.3808800,-81.3808800,0,8.6950898,8.4387660,-8.4387660,0,1750.9326350,,,,1649.8220699,,,,9.2386000,0.006,-0.006,0,,,,0,6616.0000000,200.0000000,-200.0000000,0,,,,0,1.5342900,1.4887000,-1.4887000,0,2019-07-24 15:58:33,2021-10-29 12:59:15
1008.01,440801822,FP,07h17m31.88s,109.3828390,+13d23m42.79s,13.3952190,-17.9000000,1.100,-1.100,0,1.3000000,1.000,-1.000,0,2460258.2361220,0.002805,-0.002805,0,2.0483755,0.0000055,-0.0000055,0,2.7670000,0.8610000,-0.8610000,0,483.0000000,41.9400000,-41.9400000,0,3.1962100,,,0,5644.4000000,,,,,,,,8.9362000,0.012,-0.012,0,144.2970000,,,0,6858.5000000,584.6000000,-584.6000000,0,4.2000000,1.9000000,-1.9000000,0,1.5700000,,,0,2019-07-24 15:58:33,2023-12-08 16:02:02
1010.01,139853601,FP,07h29m10.56s,112.2939810,-21d49m58.48s,-21.8329120,-5.7460000,0.176,-0.176,0,4.5020000,0.261,-0.261,0,2459228.8781010,0.000791,-0.000791,0,0.6808702,0.0000390,-0.0000390,0,2.4634563,0.0557065,-0.0557065,0,1507.8006889,39.9711230,-39.9711230,0,5.9115908,1.5360428,-1.5360428,0,87140.6995884,,,,4382.0266062,,,,8.4508600,0.006,-0.006,0,485.1220000,36.2460000,-36.2460000,0,9438.0000000,782.0000000,-782.0000000,0,,,,0,1.0000000,,,0,2019-07-24 15:58:33,2021-10-29 12:59:15
1013.01,97700520,FP,07h09m08.66s,107.2860630,-31d56m00.68s,-31.9335230,-3.9730000,0.063,-0.063,0,7.0610000,0.071,-0.071,0,2459232.2483220,0.000512,-0.000512,0,5.4255548,0.0002073,-0.0002073,0,3.9637474,0.0211401,-0.0211401,0,14939.6342222,238.9735400,-238.9735400,0,,,,0,273.5880696,,,,1037.2753045,,,,7.6095000,0.006,-0.006,0,510.2950000,9.3200000,-9.3200000,0,8868.7000000,809.8000000,-809.8000000,0,,,,0,,,,0,2019-07-24 15:58:33,2021-10-29 12:59:15
1014.01,96246348,FP,06h54m14.78s,103.5616020,-34d13m22.15s,-34.2228200,-13.0630000,0.078,-0.078,0,9.7370000,0.141,-0.141,0,2459985.6570410,0.000309,-0.000309,0,1.4095184,0.0000023,-0.0000023,0,0.9484999,0.0413901,-0.0413901,0,2841.5103258,51.8816600,-51.8816600,0,,,,0,1650.4220710,,,,1625.6180218,,,,7.6780000,0.012,-0.012,0,224.6720000,2.8445000,-2.8445000,0,9307.0000000,938.9000000,-938.9000000,0,,,,0,,,,0,2019-07-24 15:58:33,2023-11-20 10:08:02
